주소,1_count
이도이동,368820
연동,323164
노형동,294504
용담이동,239049
서귀동,211326
아라일동,205976
이도일동,174604
애월읍,154435
오라일동,147892
일도이동,146960
화북일동,127002
조천읍,121781
남원읍,96383
성산읍,86866
안덕면,77147
구좌읍,74276
법환동,73086
한림읍,72144
중문동,71082
삼도일동,68603
용담일동,61064
대정읍,59063
삼도이동,58766
표선면,58082
삼양이동,55530
동홍동,53570
아라이동,51383
건입동,49873
외도일동,48135
일도일동,45907
봉개동,39894
서홍동,34829
강정동,34210
토평동,31858
도남동,29691
색달동,25410
한경면,21427
서호동,20751
영평동,20389
오라이동,18361
도련일동,18309
화북이동,15899
월평동,15242
해안동,13066
하효동,12210
이호이동,12096
외도이동,11881
오라삼동,10134
호근동,10083
도두일동,10038
신효동,9306
상효동,9261
삼양일동,9016
대포동,8157
도련이동,7965
이호일동,7711
상예동,7417
보목동,7401
내도동,6511
하원동,6089
도평동,5238
오등동,4859
하예동,4769
용담삼동,4410
추자면,4353
도순동,4216
우도면,2147
회수동,2036
용강동,2000
도두이동,1614
회천동,1554
삼양삼동,379
,254
