주소	8_count
이도이동	406444
연동	374299
노형동	347773
용담이동	261995
서귀동	218558
아라일동	201106
애월읍	182420
오라일동	168368
이도일동	165156
일도이동	164805
조천읍	149827
화북일동	142396
성산읍	97237
한림읍	88902
아라이동	86857
구좌읍	86702
남원읍	84327
안덕면	82655
중문동	80411
일도일동	74985
삼도일동	74856
법환동	72062
용담일동	71839
동홍동	68498
대정읍	65285
표선면	64754
삼양이동	63005
건입동	59935
삼도이동	56328
외도일동	52265
봉개동	46926
서홍동	45285
강정동	39746
토평동	35338
도남동	34251
색달동	28594
영평동	27490
한경면	24410
월평동	23715
서호동	22597
도련일동	21685
오라이동	20120
호근동	16848
이호이동	14291
화북이동	14196
외도이동	13644
도두일동	12535
하효동	12336
상효동	12075
해안동	11125
대포동	10891
오라삼동	10876
삼양일동	10192
이호일동	10065
용담삼동	9377
도련이동	8751
신효동	8151
내도동	8003
보목동	6772
하예동	6234
하원동	5659
상예동	5516
도평동	5385
오등동	5241
추자면	4827
도순동	3977
우도면	3583
용강동	2870
회수동	2336
회천동	2176
도두이동	785
	385
삼양삼동	365
