읍면동,주차수요량,WiFi 접속자수,카드이용자수,사업체수,총인구수
이호동,55071,114543,269222,281,4654
도두동,65333,141161,441864,991,3257
봉개동,75072,393438,362387,269,4936
외도동,75466,994026,944828,1185,21741
삼양동,78848,638591,1042792,1000,25153
건입동,113170,1018933,763641,750,9857
화북동,130560,1346005,1025585,1546,25391
구좌읍,146522,565136,952715,1738,16283
한림읍,233952,450801,1377325,2174,25003
오라동,183289,300518,854466,978,14906
아라동,186471,1552059,2301873,2049,34321
삼도동,191320,2143600,1409400,2396,23007
일도동,197650,3617973,2448666,3536,37677
조천읍,219234,1677427,1589216,1873,24718
용담동,258953,2471079,3467293,1918,23283
노형동,323489,4834174,4562480,4476,56223
연동,342261,3126565,4303620,4649,43217
애월읍,394897,939748,2262602,2514,36550
이도동,500447,4783256,4538944,6694,58126
