,읍면동,주차수요량,카드이용자수,사업체수,총인구수,군집
0,이호동,55071,269222,281,4654,2
1,도두동,65333,441864,991,3257,2
2,봉개동,75072,362387,269,4936,2
3,외도동,75466,944828,1185,21741,2
4,삼양동,78848,1042792,1000,25153,2
5,건입동,113170,763641,750,9857,2
6,화북동,130560,1025585,1546,25391,2
7,구좌읍,146522,952715,1738,16283,2
8,한림읍,233952,1377325,2174,25003,3
9,오라동,183289,854466,978,14906,2
10,아라동,186471,2301873,2049,34321,3
11,삼도동,191320,1409400,2396,23007,3
12,일도동,197650,2448666,3536,37677,3
13,조천읍,219234,1589216,1873,24718,3
14,용담동,258953,3467293,1918,23283,3
15,노형동,323489,4562480,4476,56223,1
16,연동,342261,4303620,4649,43217,1
17,애월읍,394897,2262602,2514,36550,3
18,이도동,500447,4538944,6694,58126,1
